a,b,c,d
6448,7117,2192,1358
1277,9496,6417,1358
5375,5187,5232,1357
7495,7958,3717,1356
9081,6835,8740,1356
2614,2901,4545,1357
1924,5470,5508,1358
2823,6980,3173,1358
7345,613,3828,1358
4358,9038,9589,1357
6559,1244,7796,1358
7857,263,4609,1357
4864,4391,4212,1358
9224,7161,6404,1358
2261,6027,3088,1356
6483,2335,7236,1356
3865,9804,693,1356
2689,7261,5744,1358
1201,5252,8741,1357
1444,1571,7300,1356
4184,4063,7413,1358
7641,4477,4801,1358
8140,6392,8116,1356
9561,1034,7329,1358
4282,4548,2736,1357
8397,7842,5728,1358
7570,1134,6353,1356
4021,8339,1605,1358
8814,3405,372,1356
5739,3883,1857,1357
5220,1558,1924,1356
7432,8709,7925,1358
4327,1578,4097,1356
6076,3023,6533,1358
2869,2812,9829,1358
3926,6387,1092,1356
9259,2276,9781,1358
2767,9669,1637,1356
2110,8960,3072,1358
254,9821,3716,1357
3872,1531,5909,1356
5320,6111,3588,1357
5295,8893,8673,1356
6285,9766,5152,1358
2391,3981,9328,1356
100,3827,7685,1358
4044,2479,9908,1357
632,2139,5136,1358
881,3131,1413,1356
3448,4113,6629,1357
7519,5377,6385,1357
2213,650,2421,1358
3529,4443,3665,1358
4310,3824,9136,1356
8168,1735,4949,1357
5837,8789,4545,1357
5612,2814,4944,1357
9707,4082,6340,1357
2216,9814,433,1358
1383,1319,2544,1357
4592,4363,6929,1356
1862,3948,5697,1358
5166,182,9524,1358
5234,5867,6548,1358
3906,112,9189,1358
4366,7941,4340,1357
3210,9370,8821,1356
7318,9313,7249,1356
5575,6362,6965,1357
8643,4952,7941,1356
8116,9514,224,1357
3601,8204,6625,1358
8295,7279,1729,1358
4731,1816,9824,1356
4267,8477,8528,1357
7158,8809,5012,1356
497,6740,8657,1358
7540,9387,6657,1358
1979,6506,9792,1358
3742,1433,5409,1357
2876,2607,9424,1358
3035,1897,336,1357
6409,2847,8384,1358
2433,4020,3969,1357
9546,4165,449,1357
6606,483,9492,1356
4005,434,5121,1356
7475,3781,2464,1356
4625,1014,3905,1356
4325,1001,677,1356
3880,4313,1237,1357
9172,9949,8485,1356
2427,5533,6161,1356
1863,7283,8304,1357
2907,5363,6689,1356
7913,3692,288,1358
9999,4399,3888,1358
6662,1828,9380,1357
1534,5032,1425,1357
3841,5114,5028,1356
1893,3741,6901,1357
8711,5702,6177,1356
660,6262,4689,1356
8637,5564,7445,1357
3953,6806,3173,1357
7074,553,4821,1358
5662,6268,3140,1358
2076,1741,3716,1357
5909,8493,2497,1358
711,8342,7556,1358
1639,7044,3540,1356
6858,375,2416,1357
2858,1768,6112,1356
1633,1425,4340,1356
7095,9219,6324,1356
7533,3045,449,1358
285,9145,8293,1358
2451,7214,9557,1357
2411,5305,897,1356
6515,1952,6849,1356
3700,3744,2016,1358
3718,9186,8672,1356
5835,754,8784,1358
867,6242,5281,1358
6312,4689,113,1358
1668,8100,6561,1356
2243,5855,2101,1356
4033,1769,1141,1356
2769,2801,1409,1357
6296,2917,2240,1356
4841,8547,5488,1356
1386,9760,1729,1356
5671,3825,561,1357
1605,4888,1201,1358
3012,6594,7632,1357
677,4533,9477,1357
6689,6748,5125,1358
5981,3045,2021,1357
7738,3557,6401,1357
9144,5711,6453,1356
9797,4602,5492,1356
3578,8144,9648,1358
1298,2060,3173,1358
721,82,6752,1358
225,2013,2341,1357
27,2007,645,1358
6436,7222,8065,1356
2874,2523,4912,1358
7424,4729,3265,1357
2499,3307,6212,1356
4058,8699,9985,1356
9787,1486,7716,1358
2640,9644,6068,1356
8028,598,1637,1358
9847,7428,5268,1356
6278,3455,5668,1357
2143,5161,6309,1356
6660,8585,9296,1356
5311,4212,8449,1357
3365,5127,628,1356
5198,2439,4324,1358
1719,6449,308,1356
7357,3307,9045,1358
1111,8942,1156,1358
8638,7990,3733,1357
4830,3867,1872,1356
4533,5896,3124,1357
5953,6785,3685,1356
6358,4527,9377,1357
1336,3904,2608,1357
2849,370,3505,1358
9179,8019,7908,1356
3451,8303,2577,1356
7903,2441,3861,1357
2177,7424,7012,1357
1201,5458,53,1357
2219,7592,1745,1356
2245,2980,7264,1358
5169,1516,7216,1357
6586,1154,2496,1357
4406,3706,9089,1358
9349,9056,7204,1357
3590,9865,8513,1358
9557,1180,2529,1356
9322,7289,244,1357
4669,1524,6129,1358
4955,6939,977,1358
3606,9769,8901,1357
2718,7053,5509,1357
4565,5994,8753,1356
4867,145,976,1356
6770,6605,2708,1358
3021,1879,1280,1357
3449,6690,8965,1356
1042,9513,4048,1358
6894,6857,8741,1358
2546,3877,7365,1357
8701,3074,7812,1357
4416,7902,1665,1357
2919,5903,1024,1358
2821,589,6624,1357
625,4975,2052,1356
8231,1370,8741,1357
2105,6698,1617,1356
5141,126,5216,1358
4332,5538,9685,1356
8145,5468,84,1357
9357,5649,5856,1357
3733,4983,4528,1357
4348,440,4549,1358
2039,4414,3441,1357
1262,6135,2640,1356
5703,3456,1077,1356
1372,9384,6437,1358
6588,7506,2725,1358
6022,7192,6565,1358
3501,9984,5857,1358
3133,2692,4225,1357
3043,254,6420,1357
801,7655,5217,1357
2340,3337,6497,1356
4054,4613,7876,1357
8269,1335,2981,1358
3771,7306,7744,1356
5609,5414,3956,1358
8624,11,400,1356
7771,3257,1137,1356
8870,3592,7216,1357
8685,8715,8213,1356
1624,996,496,1357
6714,5944,1732,1358
1840,9295,3572,1357
5261,8038,3057,1358
8350,2419,7029,1358
1521,8987,3573,1358
6564,5250,9076,1358
6749,4683,97,1356
5551,4395,608,1358
5863,3376,8788,1356
6973,9900,8245,1356
2231,8995,4693,1358
6952,9928,1508,1357
5216,6622,9585,1358
9996,6852,7040,1358
2834,1866,6677,1356
8812,3823,6453,1357
7567,867,8740,1358
394,8047,9440,1358
5654,9409,3393,1357
7628,9447,3588,1357
7121,1130,9957,1358
9241,5678,6644,1357
2077,6380,3984,1358
757,3092,6593,1356
3773,1133,5348,1357
4572,2845,8032,1356
114,1034,4785,1357
7150,5648,5249,1356
6957,2649,1716,1357
5662,469,8676,1356
1357,8009,1041,1356
7486,2828,4481,1358
9216,3463,8833,1357
1915,9346,5989,1358
700,1006,8448,1356
3104,7522,6912,1358
5255,4977,3184,1357
2772,6212,8437,1356
6291,1449,2544,1356
194,1536,1988,1356
7571,7591,960,1358
5205,1301,6452,1357
5839,9167,8448,1357
2125,8721,6229,1358
2018,9872,1029,1358
6286,3599,3845,1358
4226,3143,5696,1356
9454,4355,1540,1356
5985,9915,3457,1356
1782,3770,277,1356
7546,496,8449,1357
3598,6630,9620,1356
3661,1573,2352,1358
45,4851,7137,1356
812,1963,960,1356
6363,1102,1937,1358
851,9181,2980,1357
6141,1140,2688,1356
6363,3934,4709,1357
9383,6050,6372,1356
167,8114,6880,1358
9694,4225,4352,1357
2902,303,2916,1358
9799,1682,6581,1356
8683,3726,3153,1356
8756,1888,4644,1356
8919,8907,3701,1357
8000,9183,8673,1356
4699,5018,7440,1356
6529,7609,368,1357
3105,5250,3201,1358
2510,452,6069,1358
8426,4792,9297,1358
1274,9147,4101,1357
6578,4199,5764,1358
348,29,32,1358
7818,9541,5632,1357
2415,6576,9569,1356
9594,4663,8981,1358
2298,8842,2721,1356
8416,7974,693,1356
1369,8242,8949,1358
5879,6285,2544,1358
6417,8949,8405,1356
7689,4693,3489,1357
5233,9221,9441,1357
5777,5444,2017,1356
9305,1368,5953,1357
8982,9804,7921,1357
335,3164,9297,1358
9518,4769,2789,1358
7859,8365,464,1358
481,9875,2789,1358
4785,984,9845,1357
6891,4893,4725,1356
9606,7101,257,1356
4876,2807,1781,1356
8238,5854,6177,1357
435,7215,209,1358
3381,1592,9745,1356
8775,5863,3669,1356
4252,3245,8629,1356
1691,8530,4757,1357
7759,5764,7060,1357
4072,2388,532,1356
344,2322,752,1358
1682,4617,5840,1358
8774,5859,4325,1358
2801,9663,5300,1358
4027,5279,1300,1358
7026,5020,9013,1358
140,5940,6976,1357
2638,2521,5729,1357
1249,9849,2548,1357
7521,4814,992,1356
2179,4391,3568,1358
5339,2184,5009,1356
4365,2338,9700,1356
9725,4840,8961,1358
2954,5884,272,1358
3272,939,405,1357
1767,3935,3041,1357
2495,5215,2624,1358
6878,1607,6449,1357
5008,7111,4240,1357
8953,5996,3572,1358
2674,1364,7716,1358
3366,2726,485,1357
9393,6444,2224,1357
4921,3372,8228,1358
8958,4996,6037,1356
7286,2273,2785,1356
370,335,7793,1356
4027,5524,112,1356
8591,2422,724,1358
1325,6105,7941,1357
2838,4302,5344,1358
7991,9042,1157,1357
1693,6640,2353,1358
321,4417,8912,1358
7549,6524,2229,1358
2880,8120,7301,1356
6215,2364,8880,1358
3154,3104,4337,1356
9369,5244,6388,1357
3639,7031,3008,1358
7801,8338,5744,1357
8203,7949,8928,1356
5969,926,1205,1356
8716,8783,3333,1357
8475,4143,2512,1356
9111,1906,289,1357
6250,9878,2880,1357
8879,5728,8100,1358
6598,8763,5888,1356
3226,694,5140,1357
1909,5691,9396,1357
8464,5056,4144,1357
7431,9174,7140,1357
9814,2586,5217,1358
9972,7769,8117,1357
5025,4626,1796,1357
5024,9229,9345,1357
4177,43,9077,1358
5064,4957,3748,1357
8614,536,8752,1356
4787,9508,4644,1358
7002,8158,6884,1356
7065,3756,213,1358
2535,6174,4449,1357
2228,6680,4897,1357
5898,8035,3681,1358
246,3329,6096,1356
7515,9586,1344,1356
2531,3217,7252,1356
221,3678,7317,1357
1903,8148,1873,1356
8031,1602,5568,1357
3496,7425,2384,1358
4453,2724,7028,1357
6590,1691,6917,1357
9946,7535,3236,1357
45,9219,2404,1357
6599,9443,3953,1358
9361,1940,7488,1356
8067,2140,9424,1357
8541,8233,7425,1358
5082,9903,8709,1357
4854,8328,9792,1357
4793,5689,2048,1356
1099,7986,7457,1358
2247,760,8020,1357
6053,6068,3344,1356
7762,1308,5265,1358
3361,5188,2496,1358
7238,2653,2689,1356
9723,3993,5124,1357
7325,2098,9345,1357
9279,2047,7952,1356
8124,8097,4421,1358
6458,6054,9520,1357
4467,8306,6485,1358
7101,6891,2197,1357
8243,6179,5028,1356
2503,9070,3008,1357
8344,7699,512,1357
4342,4578,2564,1357
7085,3484,4132,1357
6060,6331,9489,1356
2846,2783,693,1358
8404,5554,2629,1358
6187,3665,4597,1358
3107,9769,2180,1357
6155,420,4708,1357
3339,9529,464,1357
6106,6864,2388,1358
481,2966,593,1356
2046,5595,7652,1356
5196,9384,6309,1356
7853,8206,9173,1356
5458,3828,6752,1357
4203,9097,9137,1356
3805,7524,1856,1356
554,6965,416,1358
5602,3317,1172,1358
8787,2736,4704,1357
1205,8832,7844,1357
5918,5716,9604,1356
793,9531,1680,1358
8895,5136,8180,1357
4734,4866,8913,1357
8983,1206,913,1357
5147,8633,4049,1357
9169,3737,6308,1358
7212,1020,9716,1357
8090,3266,7585,1356
6155,1460,2848,1357
2899,1678,560,1357
2017,6431,8720,1356
343,508,3137,1356
4525,3003,7029,1356
1138,12,9584,1357
1561,1056,3444,1357
7694,1735,6801,1357
333,9554,8692,1357
7257,2895,9569,1356
9534,7401,3924,1356
6405,3941,1073,1356
8296,2119,7637,1357
1749,3231,7441,1357
7776,9922,6176,1357
7976,8314,7173,1356
9183,9804,8353,1358
8572,3013,5829,1357
5260,287,4485,1356
1821,5504,7477,1356
7166,108,4437,1358
8708,3763,9573,1358
7919,2667,7252,1357
7702,6887,7392,1358
2559,7439,6868,1358
1677,8145,4484,1358
1141,5492,8164,1358
7921,6393,528,1357
8767,3984,1044,1357
3924,5986,3125,1357
8230,9975,7648,1357
6948,2286,8721,1357
5876,1397,3376,1358
2334,5204,320,1356
5675,7673,1477,1358
9017,915,1280,1357
5586,3972,2400,1356
4326,729,2848,1358
3296,6771,2657,1356
176,7354,3569,1357
5472,8761,1525,1356
1903,8332,7829,1358
4164,4568,1141,1356
2961,2637,5461,1358
4340,3328,432,1357
7677,6439,9381,1358
5043,5595,4897,1357
164,745,4149,1357
1308,6282,336,1358
4026,3457,8933,1357
1064,3444,1329,1356
3419,6912,240,1358
4176,2982,4260,1358
5817,2832,6741,1357
1984,6945,1473,1356
1299,2039,4592,1356
1887,1982,3296,1356
1932,5975,129,1358
7715,8858,3201,1356
7761,6685,7700,1356
5718,8903,1156,1358
1325,4489,4965,1357
7969,6998,1169,1358
9866,6474,8340,1358
673,5596,7729,1357
6059,4041,8129,1357
7076,2505,7457,1357
1094,2868,481,1356
3511,8992,8945,1357
7715,3022,1333,1358
3618,9682,3424,1358
7966,2156,3972,1358
1991,9596,7237,1356
8296,7540,2452,1358
6074,6253,4240,1358
5354,354,5313,1356
2348,3252,7909,1356
4849,3692,6273,1358
8900,9375,4545,1358
8390,2238,1568,1356
5523,6203,257,1358
9634,8500,3280,1357
3403,5841,2769,1357
8833,817,417,1358
348,2480,7157,1358
7844,7501,8544,1358
8423,4265,996,1356
8828,217,4709,1356
9180,9376,8081,1358
4823,6637,5553,1358
7001,6324,7765,1357
1880,8308,9668,1357
4721,1871,100,1358
9771,5023,9973,1358
7482,5745,3696,1357
2348,8729,368,1358
1725,2766,9684,1358
4328,1529,3456,1356
5888,9938,68,1356
1296,5283,1845,1356
8529,658,7680,1356
4067,1822,448,1356
6391,8225,3281,1356
5013,293,3713,1358
8248,2294,1441,1357
9615,4654,677,1356
7554,346,9760,1356
9667,5812,101,1357
2949,3685,6513,1358
4966,4986,9733,1357
6018,5563,5088,1356
8030,2654,3188,1358
7777,52,3344,1356
3967,2778,1537,1358
3673,6168,737,1357
9068,6866,8577,1358
5725,9384,9861,1358
6508,6307,5969,1356
3695,5026,7540,1357
4468,9892,1028,1357
2192,280,5313,1356
8342,9199,9908,1358
1178,3285,1668,1358
8889,7774,9316,1356
283,8143,2180,1357
4119,5726,3604,1356
7430,9453,9136,1356
3981,9560,8624,1357
9364,9939,4260,1357
9427,6000,2948,1357
9113,8411,564,1358
2659,4393,9169,1358
1604,6386,7604,1358
8625,5150,3760,1356
100,7940,1153,1357
9370,1235,9573,1357
6986,2752,5616,1358
6869,7136,2549,1357
1356,8658,4292,1358
5736,3805,2256,1357
9902,5435,6753,1358
9550,5705,5600,1358
6151,8358,6357,1356
2936,3423,9204,1357
8638,6042,2432,1356
2256,3631,6257,1357
6061,7654,2261,1358
5092,9863,3413,1358
3662,3505,3505,1356
9535,5970,5457,1358
523,7888,6129,1358
840,3306,9680,1356
5646,5451,6516,1358
4563,3006,917,1358
372,2493,2181,1356
8879,7401,960,1358
4066,1759,8656,1357
8699,7145,4212,1357
213,9306,512,1358
9826,7158,6548,1357
695,4986,2833,1357
8420,9848,8101,1357
8257,5033,2993,1358
9901,9014,3476,1357
1161,837,6576,1357
3692,3130,3265,1356
4464,3655,5892,1357
1659,196,5412,1358
3623,7842,405,1356
3588,2028,1172,1357
8872,2483,2112,1357
740,1847,5060,1356
4141,1243,4884,1358
2410,4677,405,1358
6955,1273,9233,1358
6183,2923,4737,1357
9178,2648,2321,1356
8753,1549,613,1357
2772,7246,2516,1356
1222,3532,1205,1356
8192,6478,4741,1356
4092,5919,9989,1356
8665,8549,8661,1358
7202,3130,7729,1358
2908,5234,8373,1357
1892,4822,9361,1358
4341,3276,9297,1357
7143,4050,5713,1358
6309,2290,6417,1356
9037,2753,2165,1358
5026,7596,9621,1356
9319,7426,5921,1356
6969,7067,721,1356
4624,7336,9877,1358
6482,2642,1040,1356
6868,9050,5024,1358
4036,9039,9552,1358
7466,1724,1173,1357
7338,6641,432,1357
1629,6477,3729,1356
2425,8416,821,1356
6410,6933,629,1357
4422,9658,3121,1358
1667,3811,8932,1357
9488,1971,1572,1358
9696,4144,2165,1357
1115,4221,4945,1356
5608,3102,7076,1357
1626,6405,49,1358
6912,4802,6613,1356
4252,1390,768,1356
3090,9505,8320,1356
6698,181,4177,1358
2550,6902,6612,1357
753,5433,7505,1358
9786,6129,8933,1356
927,1512,9348,1356
3670,8062,5413,1356
4359,3490,9697,1358
3501,5244,69,1357
5435,7814,6660,1356
7884,7592,3712,1356
5421,8299,4496,1357
8657,7873,4753,1357
9182,3257,7601,1358
1957,929,9328,1358
1721,3882,3348,1356
311,2591,9620,1356
6687,1653,3653,1356
4463,2998,3828,1358
4351,2595,9893,1358
7049,7607,5473,1356
6271,8256,9936,1358
2663,8382,8932,1356
8274,2573,4164,1358
202,7490,2849,1358
3704,3767,7557,1358
2841,2049,7808,1356
4785,5308,1572,1356
2692,9387,6484,1358
623,2387,6208,1357
5845,7893,5828,1357
7982,4338,7829,1358
1156,2135,8437,1358
1702,7878,512,1358
1802,7795,1233,1356
5931,8804,2545,1357
9571,3787,6193,1358
3874,8668,1648,1358
9062,8411,2448,1357
6192,1802,6544,1357
5120,1601,7345,1356
9239,3987,9073,1356
4023,7611,4625,1357
9454,2539,388,1357
6619,5016,1924,1356
2581,7254,7296,1356
1186,6870,3973,1356
5376,6214,7504,1357
9612,6020,2453,1356
6357,6706,7040,1358
2490,3947,1312,1356
9267,8299,4608,1356
2044,1699,3105,1357
5432,2984,8704,1358
7104,8427,9153,1356
8346,1594,9200,1358
5782,2111,3524,1356
7859,4377,5509,1357
6161,5627,3332,1356
8916,9622,5461,1357
2807,7426,5796,1356
129,1827,1889,1356
4748,4161,837,1357
594,7773,7957,1356
8182,8093,9765,1358
373,275,9313,1358
2994,192,8673,1357
2500,6913,7457,1358
5136,5731,2533,1357
1553,100,9813,1358
9514,8787,2752,1358
414,6881,2117,1357
4708,7497,6692,1357
1204,597,8644,1356
2321,7618,81,1356
1660,831,9173,1356
8640,771,8304,1356
9993,3176,2021,1356
7794,5652,4497,1357
6228,7244,8129,1357
2708,8220,6448,1356
8731,9895,7073,1356
4930,3255,1781,1358
4201,5566,6676,1356
4378,9349,1012,1356
7517,2349,3156,1356
9547,4368,3376,1358
10000,1627,7828,1357
64,7279,5524,1358
4110,5451,468,1356
7682,4995,2164,1356
2989,4660,6336,1358
5056,9024,2164,1358
4538,5583,1441,1356
9516,5224,6788,1357
9461,7126,8609,1357
6643,7070,5284,1356
4510,8894,5568,1357
9029,2397,9600,1358
5845,1478,6981,1358
4178,8717,2848,1358
2820,5045,1829,1357
6215,7612,7717,1357
1147,7475,5200,1357
2149,1679,1409,1357
2735,5667,8993,1356
5833,643,1345,1358
6972,3320,256,1357
2741,5472,5808,1357
4229,9078,6052,1358
449,6881,7905,1356
9660,70,2385,1356
5757,6497,8325,1356
2584,9305,1264,1358
2769,8742,2197,1357
5326,8876,1521,1357
2908,8936,3153,1356
3409,7312,597,1358
8161,1256,1636,1357
5325,8751,1121,1357
3922,170,9441,1358
1539,8959,5393,1358
8781,482,4017,1356
4682,9413,5712,1357
3068,8404,5700,1357
9073,7123,5617,1358
4990,5659,5616,1356
2551,7735,6836,1357
4724,2349,3360,1356
6586,7837,5633,1358
27,9336,3696,1356
6934,4943,1540,1358
5172,5103,1173,1358
4707,3643,9268,1356
3911,4523,692,1358
6213,2065,5525,1358
756,2253,6705,1356
8595,1933,7840,1356
7173,7345,6977,1358
509,2715,100,1358
2783,9973,4804,1357
9435,8041,3253,1357
976,5830,8720,1357
6356,4485,5908,1356
9740,725,9744,1356
5414,2323,4308,1357
6574,7951,2385,1358
9843,7869,5973,1356
7631,7474,8561,1356
252,5513,2032,1358
3322,7539,8517,1356
6285,8950,3093,1357
3666,6433,6193,1358
9924,3406,2241,1358
8521,3682,5157,1358
8065,6211,6577,1356
7937,2495,337,1356
9750,9813,7281,1358
1452,4136,1589,1358
6515,1867,3665,1357
5309,1071,2628,1358
4922,6402,7953,1358
427,7628,8724,1357
5249,9978,9024,1357
9620,4087,7920,1358
7783,137,7700,1356
7815,2855,7637,1356
43,6449,1184,1358
3569,5070,7077,1357
8645,9454,2129,1356
6816,2849,3780,1356
889,7833,7424,1356
6313,2936,100,1357
8062,3419,7749,1357
1232,7143,7733,1356
4951,6344,8848,1357
4348,2586,9108,1358
4771,4981,8565,1358
7567,2002,8612,1356
4576,6003,9712,1357
9155,3148,3953,1357
4650,4809,9824,1356
8553,8709,3780,1357
8880,6109,9680,1356
7243,398,2388,1358
9697,9503,9973,1358
4252,3315,9381,1358
4386,4504,816,1357
7267,4096,2948,1357
4466,1984,464,1357
7974,238,6832,1358
979,2986,7169,1358
3706,9786,1109,1356
3124,3749,3616,1358
9249,5405,9764,1357
8436,8400,8948,1358
8055,2136,1697,1357
4599,5518,420,1358
42,2405,3761,1356
9329,1313,8020,1356
3251,1716,5297,1356
6251,4922,7920,1358
1654,3553,2097,1357
7209,6078,5397,1358
5959,1188,8384,1358
7646,698,5361,1356
7333,1822,3472,1358
1492,910,2244,1358
7652,652,6880,1358
1944,6761,1905,1358
4342,3306,9808,1356
8682,8576,992,1356
1809,4896,1232,1357
8902,7457,9253,1358
3438,128,1156,1358
9062,9448,6052,1356
6158,9962,6000,1356
9281,3266,8917,1358
5456,7502,8277,1357
5002,9320,612,1358
5696,8408,2660,1356
2861,2676,5745,1356
121,3340,1541,1357
2846,8862,4096,1356
3494,4107,2836,1357
702,6905,3376,1357
7733,6912,9893,1358
6981,2298,5397,1357
6936,8090,2837,1358
7073,3484,4816,1358
1120,6040,7845,1356
4053,6986,9632,1357
8280,9351,4228,1358
8097,2560,2993,1358
3880,1957,549,1358
3009,9609,8116,1358
8745,6968,7648,1356
7917,9833,2084,1357
8351,3387,4832,1356
503,7799,2049,1357
8463,9922,9396,1356
2207,9125,4368,1358
6940,8446,4448,1358
5565,3943,9557,1357
3338,2705,753,1356
1966,20,2340,1357
6562,740,8256,1358
671,8075,1700,1358
672,5307,8292,1358
8374,7330,6624,1356
1853,3414,2101,1358
3627,2642,6401,1356
1474,1290,7908,1357
4472,1970,3521,1358
2742,262,5300,1357
2471,7844,4224,1356
5882,3664,6997,1358
5092,4911,7557,1358
8573,5912,9044,1356
4098,2984,3780,1358
4267,4557,1989,1357
2081,1584,8949,1358
5199,8605,2069,1356
6546,1594,2769,1357
9322,4511,8544,1358
6253,4212,1172,1358
7172,2525,896,1357
8734,8094,6516,1357
3514,4438,3412,1358
2878,9066,8784,1356
1270,4029,9952,1356
8002,8135,6084,1356
3721,1514,5621,1356
8615,7944,773,1356
8678,4849,7092,1358
9025,5877,2965,1357
5883,2143,5697,1357
8553,4149,161,1356
2965,6999,9333,1357
8616,4154,6368,1358
3938,188,4148,1356
7404,880,9141,1357
8242,5246,5845,1356
9253,6347,5508,1356
4685,5708,7301,1356
2192,5516,3776,1357
5964,9871,6612,1356
4926,656,3540,1358
6437,420,3461,1358
4881,3791,836,1358
576,2686,2517,1356
8958,909,181,1357
3152,6404,5056,1357
5556,7470,6724,1356
7252,8665,1812,1356
9713,8962,8561,1357
3100,7923,4433,1358
6961,3889,8656,1357
1419,7535,4053,1357
3170,1373,2608,1358
4859,8619,5365,1356
3677,2673,9252,1358
9545,8550,9604,1358
8675,6863,49,1356
9352,7841,1761,1356
8094,994,661,1358
6160,6721,5264,1356
999,9257,7477,1358
4709,222,5253,1356
3343,860,3620,1356
6614,7098,8484,1358
81,8559,737,1358
1539,5682,5377,1357
3370,5284,1860,1356
6812,9036,645,1357
631,758,4368,1357
226,5201,1765,1357
7133,6704,8901,1358
8276,7994,5056,1356
9377,4750,8308,1356
4572,9745,9856,1356
483,6442,6801,1356
2074,3739,4960,1357
9977,3337,9649,1356
5026,4832,5940,1357
5882,7093,9973,1356
8314,7659,6513,1356
3010,8235,6453,1356
2449,6931,9169,1356
6203,7360,4308,1358
2611,6455,404,1357
2816,9142,992,1358
8488,859,2836,1358
1366,1813,3265,1357
8828,4902,7492,1356
2517,6396,9136,1358
567,1495,5268,1356
9352,6179,436,1358
3396,8136,752,1356
7901,1491,4673,1356
9996,297,1552,1357
4766,6400,6256,1358
3826,2073,7153,1356
630,1545,7956,1357
8995,9687,784,1358
1844,8927,4836,1357
2198,5667,5520,1358
4351,3815,4548,1357
917,1539,8261,1358
5041,7064,2485,1357
1475,3241,7857,1356
4853,2659,2017,1356
5501,8835,5328,1356
9831,4021,4160,1357
7422,4016,8292,1358
7201,3442,1920,1358
2385,2783,7681,1358
9941,6993,8049,1358
4488,9241,9781,1357
5462,615,164,1358
9154,3818,9521,1358
6772,5428,6340,1357
7826,171,1557,1357
2725,6649,3605,1358
6503,7803,2836,1357
7675,6558,3872,1356
6226,2577,1461,1356
8231,3953,2753,1358
4096,1486,2256,1357
195,9523,8181,1357
6847,9783,4869,1358
2491,9002,9156,1356
4223,2591,1648,1357
221,786,2721,1358
5389,4955,2420,1357
8054,972,2528,1356
4439,839,5601,1356
558,2065,7317,1358
9195,2877,2736,1358
2223,6679,6209,1358
444,2197,7136,1358
2209,3249,5489,1356
8147,7479,3569,1357
3513,8182,6980,1356
8077,5960,3937,1356
3141,9682,69,1356
1851,579,8753,1356
5492,3641,3024,1357
4695,2220,4437,1358
8329,2320,2320,1356
7117,2779,2820,1357
9848,6039,37,1357
7417,8853,4933,1358
8275,7194,3616,1357
4329,2604,2481,1358
1352,4298,6308,1357
577,2119,7376,1356
6884,7425,5216,1357
4257,8950,2484,1358
7066,7510,1412,1357
1876,4289,3345,1357
3504,2873,7652,1356
507,6303,1056,1358
5055,1706,8613,1356
4869,6492,6181,1358
3202,7434,9268,1357
3176,5155,1488,1358
3343,2094,1524,1358
2004,4278,2736,1357
2206,9613,9360,1357
2033,7319,6385,1356
4874,4924,2900,1356
7466,8379,3221,1358
8261,6503,8928,1358
1552,9563,20,1356
6324,1998,5809,1356
9754,6579,1556,1358
5521,9413,5665,1356
6975,6198,5333,1356
3390,8549,3412,1357
7206,3236,8657,1358
4949,5019,6373,1358
1845,3704,1120,1358
2706,8831,581,1357
4786,2367,6916,1356
1076,9130,6517,1356
1987,2975,8148,1357
8889,5924,5429,1356
3396,280,4965,1356
7511,4101,9029,1358
2338,5485,8433,1356
